iter	Passed	Remaining
0	10	3019
1	18	2761
2	28	2838
3	37	2751
4	45	2663
5	54	2658
6	62	2619
7	70	2575
8	78	2544
9	87	2530
10	96	2523
11	105	2542
12	114	2528
13	122	2507
14	131	2497
15	139	2477
16	147	2460
17	155	2439
18	164	2435
19	173	2428
20	181	2413
21	189	2397
22	199	2406
23	212	2438
24	220	2427
25	230	2426
26	239	2417
27	247	2400
28	255	2384
29	263	2372
30	272	2365
31	281	2359
32	289	2342
33	297	2329
34	306	2319
35	314	2306
36	323	2296
37	330	2281
38	338	2267
39	347	2258
40	355	2244
41	363	2232
42	371	2219
43	379	2207
44	388	2199
45	396	2187
46	404	2178
47	413	2169
48	421	2157
49	429	2145
50	436	2132
51	445	2123
52	453	2113
53	461	2102
54	470	2095
55	478	2083
56	486	2073
57	494	2063
58	503	2055
59	511	2045
60	519	2036
61	527	2026
62	537	2020
63	545	2010
64	553	2001
65	562	1992
66	569	1981
67	577	1971
68	585	1961
69	593	1950
70	601	1940
71	610	1932
72	618	1922
73	626	1911
74	634	1904
75	643	1895
76	651	1886
77	659	1877
78	668	1870
79	677	1863
80	685	1852
81	692	1841
82	701	1833
83	709	1823
84	717	1813
85	725	1805
86	735	1800
87	745	1794
88	753	1786
89	761	1777
90	769	1767
91	777	1758
92	785	1749
93	794	1740
94	803	1733
95	813	1727
96	824	1724
97	832	1716
98	840	1707
99	848	1697
100	857	1689
101	865	1679
102	873	1670
103	881	1662
104	890	1652
105	897	1642
106	905	1633
107	913	1624
108	921	1615
109	930	1607
110	939	1599
111	946	1589
112	955	1581
113	964	1573
114	972	1563
115	980	1554
116	988	1545
117	996	1536
118	1004	1528
119	1013	1519
120	1020	1509
121	1028	1500
122	1036	1490
123	1044	1482
124	1053	1474
125	1064	1470
126	1075	1464
127	1083	1456
128	1094	1450
129	1102	1441
130	1112	1435
131	1121	1427
132	1129	1417
133	1138	1410
134	1146	1401
135	1155	1393
136	1164	1385
137	1174	1378
138	1182	1369
139	1190	1360
140	1200	1354
141	1209	1345
142	1218	1337
143	1226	1329
144	1235	1320
145	1243	1312
146	1252	1303
147	1260	1294
148	1268	1285
149	1276	1276
150	1284	1267
151	1292	1258
152	1300	1249
153	1309	1241
154	1317	1232
155	1326	1224
156	1333	1214
157	1342	1206
158	1351	1198
159	1360	1190
160	1370	1183
161	1380	1176
162	1390	1168
163	1401	1162
164	1411	1154
165	1420	1146
166	1430	1139
167	1439	1130
168	1449	1123
169	1458	1115
170	1467	1106
171	1476	1098
172	1485	1090
173	1494	1082
174	1504	1074
175	1513	1066
176	1523	1058
177	1533	1051
178	1543	1043
179	1552	1034
180	1561	1026
181	1571	1018
182	1579	1010
183	1588	1001
184	1597	993
185	1605	984
186	1613	975
187	1622	966
188	1630	957
189	1638	948
190	1646	939
191	1654	930
192	1661	921
193	1668	911
194	1676	902
195	1685	894
196	1693	885
197	1701	876
198	1709	867
199	1717	858
200	1728	851
201	1737	842
202	1746	834
203	1754	825
204	1762	816
205	1771	808
206	1779	799
207	1787	790
208	1794	781
209	1804	773
210	1812	764
211	1822	756
212	1833	748
213	1842	740
214	1850	731
215	1857	722
216	1865	713
217	1873	704
218	1882	696
219	1890	687
220	1898	678
221	1906	669
222	1914	661
223	1922	652
224	1930	643
225	1942	635
226	1950	627
227	1958	618
228	1966	609
229	1975	601
230	1984	592
231	1991	583
232	1999	575
233	2006	565
234	2012	556
235	2018	547
236	2025	538
237	2032	529
238	2038	520
239	2046	511
240	2054	502
241	2062	494
242	2069	485
243	2079	477
244	2088	468
245	2096	460
246	2104	451
247	2113	443
248	2121	434
249	2130	426
250	2138	417
251	2147	409
252	2156	400
253	2164	391
254	2172	383
255	2180	374
256	2190	366
257	2198	357
258	2206	349
259	2216	340
260	2225	332
261	2233	323
262	2241	315
263	2249	306
264	2256	298
265	2265	289
266	2273	280
267	2281	272
268	2289	263
269	2298	255
270	2307	246
271	2316	238
272	2321	229
273	2327	220
274	2335	212
275	2341	203
276	2348	194
277	2354	186
278	2361	177
279	2369	169
280	2376	160
281	2383	152
282	2390	143
283	2397	135
284	2404	126
285	2410	118
286	2417	109
287	2423	100
288	2431	92
289	2439	84
290	2445	75
291	2452	67
292	2458	58
293	2467	50
294	2473	41
295	2479	33
296	2486	25
297	2493	16
298	2500	8
299	2507	0
